restaurantID,name,location,reviewcount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber
tuJraaFffIS_JNK_4ZqGTA,Ēma,"74 W Illinois St Chicago, IL 60654 Neighbourhood: Near North Side",425,4.0,"Mediterranean,
                    Tapas/Small Plates","74 W Illinois StChicago, IL 60654",Mon 11:30 am - 10:00 pm Tue 11:30 am - 10:00 pm Wed 11:30 am - 10:00 pm Thu 11:30 am - 10:00 pm Fri 11:30 am - 11:00 pm Sat 11:30 am - 11:00 pm Sun 11:30 am - 9:00 pm ,No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Yes,No,Free,"Lunch, Dinner",Full Bar,Average,Trendy,No,No,Null,emachicago.com,(312) 527-5586
9qeOkQ83dyFylyW1Wknaog,Bohemian House,"11 W Illinois St Chicago, IL 60654 Neighbourhood: Near North Side",724,4.5,"Czech,
                    German,
                    Austrian","11 W Illinois StChicago, IL 60654",Mon Closed Tue 5:00 pm - 10:00 pm Wed 5:00 pm - 10:00 pm Thu 5:00 pm - 10:00 pm Fri 11:30 am - 2:00 pm5:00 pm - 11:00 pm Sat 10:00 am - 2:00 pm5:00 pm - 11:00 pm Sun 10:00 am - 2:00 pm5:00 pm - 10:00 pm ,No,Yes,Street,Casual,Yes,$31-60,Yes,Yes,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Trendy,No,Yes,Yes,Bohochicago.Com,(312) 955-0439
zIXZtgiir9CVF-iZeeAvaQ,Ramen-san,"59 W Hubbard St Chicago, IL 60654 Neighbourhood: Near North Side",1272,3.5,Ramen,"59 W Hubbard StChicago, IL 60654",Mon 11:00 am - 12:00 am Tue 11:00 am - 12:00 am Wed 11:00 am - 12:00 am Thu 11:00 am - 12:00 am Fri 11:00 am - 12:00 am Sat 11:00 am - 1:00 am Sun 12:00 pm - 12:00 am ,No,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Lunch, Dinner",Full Bar,Average,"Hipster, Trendy",No,No,Yes,ramensan.com,(312) 377-9950
8oVuCgY36DBA78kz6YcvMg,The Franklin Room,"675 N Franklin St Chicago, IL 60654 Neighbourhood: River North, Near North Side",387,4.0,"American (Traditional),
                    Cocktail Bars,
                    Whiskey Bars","675 N Franklin StChicago, IL 60654",Mon 11:30 am - 2:00 pm5:00 pm - 11:00 pm Tue 11:30 am - 2:00 pm5:00 pm - 11:00 pm Wed 11:30 am - 2:00 pm5:00 pm - 11:00 pm Thu 11:30 am - 2:00 pm5:00 pm - 11:00 pm Fri 11:30 am - 2:00 pm5:00 pm - 1:00 am Sat 5:00 pm - 1:00 am Sun 5:00 pm - 10:00 pm ,No,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Average,Classy,Yes,Yes,Yes,franklinroom.com,(312) 445-4686
bQaiow1WcwwSODUo9hHOMQ,RPM Italian,"52 W Illinois St Chicago, IL 60654 Neighbourhood: Near North Side",2511,4.0,Italian,"52 W Illinois StChicago, IL 60654",Mon 4:00 pm - 11:00 pm Tue 4:00 pm - 11:00 pm Wed 4:00 pm - 11:00 pm Thu 4:00 pm - 11:00 pm Fri 4:00 pm - 12:00 am Sat 3:00 pm - 12:00 am Sun 12:00 pm - 11:00 pm ,No,Yes,Valet,Dressy,Yes,$31-60,Yes,Yes,Yes,Null,No,Free,Dinner,Full Bar,Average,Trendy,Yes,Yes,Null,rpmrestaurants.com,(312) 222-1888
dSqRMhGNCWuSjPT_4lsZqw,Siena Tavern,"51 W Kinzie St Chicago, IL 60654 Neighbourhood: Near North Side",1407,4.0,"Italian,
                    American (New),
                    Pizza","51 W Kinzie StChicago, IL 60654",Mon 11:30 am - 2:00 am Tue 11:30 am - 2:00 am Wed 11:30 am - 2:00 am Thu 11:30 am - 2:00 am Fri 11:30 am - 2:00 am Sat 10:00 am - 3:00 am Sun 10:00 am - 2:00 am ,No,Yes,"Valet, Street",Casual,Yes,$31-60,Yes,No,Yes,Null,Yes,Free,Dinner,Full Bar,Average,Trendy,Yes,Yes,Null,sienatavern.com,(312) 595-1322
1Q7RL7Hc63wKa2A9ec3zXw,il Porcellino,"59 W Hubbard Chicago, IL 60654 Neighbourhood: Near North Side",248,4.0,"Italian,
                    Bars","59 W HubbardChicago, IL 60654",Mon 4:00 pm - 11:00 pm Tue 4:00 pm - 11:00 pm Wed 4:00 pm - 11:00 pm Thu 4:00 pm - 12:00 am Fri 4:00 pm - 12:00 am Sat 4:00 pm - 12:00 am Sun 4:00 pm - 10:00 pm ,No,Yes,Valet,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Average,Null,No,Yes,Yes,ilporcellinochicago.com,(312) 595-0800
ziIfrqtyupmeNlPAOx6jTw,Quartino Ristorante,"626 N State St Chicago, IL 60654 Neighbourhood: Near North Side",3878,4.0,"Italian,
                    Wine Bars","626 N State StChicago, IL 60654",Mon 11:30 am - 2:00 am Tue 11:30 am - 2:00 am Wed 11:30 am - 2:00 am Thu 11:30 am - 2:00 am Fri 11:30 am - 2:00 am Sat 11:30 am - 3:00 am Sun 11:30 am - 1:00 am ,Yes,Yes,Valet,Casual,Yes,$11-30,Yes,No,Yes,Null,Yes,No,Dinner,Full Bar,Loud,Casual,Yes,Yes,Null,quartinochicago.com,(312) 698-5000
0LxN36awD48RfrBJGl2BYg,Imperial Lamian,"6 W Hubbard St Chicago, IL 60654 Neighbourhood: Near North Side",712,4.0,"Dim Sum,
                    Noodles,
                    Cocktail Bars","6 W Hubbard StChicago, IL 60654",Mon 11:30 am - 10:00 pm Tue 11:30 am - 10:00 pm Wed 11:30 am - 10:00 pm Thu 11:30 am - 10:00 pm Fri 11:30 am - 10:00 pm Sat 10:00 am - 10:00 pm Sun 10:00 am - 10:00 pm ,Yes,Yes,"Valet, Garage, Street",Casual,Yes,$11-30,Yes,No,Yes,Yes,No,Free,"Lunch, Dinner",Full Bar,Average,Trendy,No,No,Yes,imperial-lamian.com,(312) 595-9440
7gIvBWrOpu3SDYB6CFJ6kw,Bar Lupo,"217 W Huron St Chicago, IL 60654 Neighbourhood: River North, Near North Side",166,4.0,"Cocktail Bars,
                    Italian,
                    Pubs","217 W Huron StChicago, IL 60654",Mon Closed Tue 3:00 pm - 10:00 pm Wed 11:00 am - 10:00 pm Thu 11:00 am - 11:00 pm Fri 11:00 am - 2:00 am Sat 11:00 am - 3:00 am Sun Closed ,No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,Null,Yes,No,Yes,barlupochicago.com,(312) 643-3400
Xs7VQkl9cFTWQqmq69UvuQ,Barrio,"65 W Kinzie St Chicago, IL 60654 Neighbourhood: Near North Side",273,4.0,"Mexican,
                    Bars,
                    American (New)","65 W Kinzie StChicago, IL 60654",Mon 11:30 am - 10:00 pm Tue 11:30 am - 10:00 pm Wed 11:30 am - 10:00 pm Thu 11:30 am - 11:00 pm Fri 11:30 am - 12:00 am Sat 10:00 am - 12:00 am Sun 10:00 am - 4:00 pm ,No,Yes,"Valet, Garage, Street",Casual,Yes,$31-60,Yes,Yes,Yes,Yes,Yes,Free,"Lunch, Dinner",Full Bar,Average,Trendy,Yes,Yes,Yes,barriochicago.com,(312) 940-9900
sDYjKyI_67eUhFAqVneYjA,Gilt Bar,"230 W Kinzie St Chicago, IL 60654 Neighbourhood: River North, Near North Side",1454,4.0,American (New),"230 W Kinzie StChicago, IL 60654",Mon 5:00 pm - 11:00 pm Tue 5:00 pm - 11:00 pm Wed 5:00 pm - 11:00 pm Thu 5:00 pm - 11:00 pm Fri 5:00 pm - 12:00 am Sat 5:00 pm - 12:00 am Sun 5:00 pm - 10:00 pm ,No,Yes,"Valet, Garage, Street",Casual,Yes,$31-60,Yes,No,No,Null,Yes,No,Dinner,Full Bar,Average,Trendy,No,No,Null,giltbarchicago.com,(312) 464-9544
Mbd667MGY6N8LNtmGk2ANg,Bar Cargo,"605 N Wells St Chicago, IL 60654 Neighbourhood: River North, Near North Side",38,4.5,"Pizza,
                    Italian","605 N Wells StChicago, IL 60654",Mon 11:30 am - 11:00 pm Tue 11:30 am - 11:00 pm Wed 11:30 am - 11:00 pm Thu 11:30 am - 11:00 pm Fri 11:30 am - 2:00 am Sat 11:00 am - 2:00 am Sun 11:00 am - 10:00 pm ,Yes,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,No,Yes,Yes,Yes,Free,Dinner,Full Bar,Loud,Casual,Yes,Yes,Yes,barcargo.com,(312) 929-0065
8d_DiHWB-pjBVW3a7D8EWg,Sunda,"110 W Illinois St Chicago, IL 60654 Neighbourhood: River North, Near North Side",2388,4.0,"Asian Fusion,
                    Sushi Bars,
                    Japanese","110 W Illinois StChicago, IL 60654",Mon 11:30 am - 11:00 pm Tue 11:30 am - 11:00 pm Wed 11:30 am - 11:00 pm Thu 11:30 am - 12:00 am Fri 11:30 am - 12:00 am Sat 10:30 am - 3:00 pm4:00 pm - 12:00 am Sun 10:30 am - 3:00 pm4:00 pm - 11:00 pm ,No,Yes,Valet,Dressy,Yes,$31-60,Yes,Yes,Yes,Null,Yes,Free,Dinner,Full Bar,Average,Trendy,No,Yes,Null,sundachicago.com,(312) 644-0500
AqgG-1aD6JYj9D6OmBWO3w,Frontera Grill,"445 N Clark St Chicago, IL 60654 Neighbourhood: Near North Side",1987,4.0,"Mexican,
                    Desserts","445 N Clark StChicago, IL 60654",Mon Closed Tue 11:30 am - 2:30 pm5:30 pm - 10:00 pm Wed 11:30 am - 2:30 pm5:00 pm - 10:00 pm Thu 11:30 am - 2:30 pm5:00 pm - 10:00 pm Fri 11:30 am - 2:30 pm5:00 pm - 11:00 pm Sat 10:30 am - 2:00 pm5:00 pm - 11:00 pm Sun Closed ,No,Yes,Valet,Casual,Yes,$31-60,Yes,No,No,Yes,Yes,No,Dinner,Full Bar,Average,Casual,No,No,Yes,rickbayless.com/restaurants/g…,(312) 661-1434
MwobGG_QI3QLf5HencV3Yg,The Kitchen,"316 N Clark St Chicago, IL 60654 Neighbourhood: River North, Near North Side",397,4.0,American (New),"316 N Clark StChicago, IL 60654",Mon 11:00 am - 10:00 pm Tue 11:00 am - 10:00 pm Wed 11:00 am - 10:00 pm Thu 11:00 am - 10:00 pm Fri 11:00 am - 10:00 pm Sat 10:00 am - 10:00 pm Sun 10:00 am - 9:00 pm ,No,Yes,Valet,Casual,Yes,$31-60,Yes,No,Yes,Yes,No,Free,Dinner,Full Bar,Average,Trendy,No,No,Yes,thekitchenbistros.com,(312) 836-1300
N0CzLRbl79f4f6WqjNKM0g,Theory,"9 W Hubbard St Chicago, IL 60654 Neighbourhood: Near North Side",627,4.0,"Sports Bars,
                    American (New)","9 W Hubbard StChicago, IL 60654",Mon 11:00 am - 12:00 am Tue 11:00 am - 12:00 am Wed 11:00 am - 12:00 am Thu 11:00 am - 2:00 am Fri 11:00 am - 2:00 am Sat 10:00 am - 3:00 am Sun 10:00 am - 2:00 am ,No,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,Yes,Yes,Null,Yes,Free,Dinner,Full Bar,Average,Casual,Yes,Yes,Null,theorychicago.com,(312) 644-0004
efRsbbfjcuDXABJNXdgl7w,Wollensky’s Grill,"318 N State St Chicago, IL 60654 Neighbourhood: Near North Side",69,4.0,"Steakhouses,
                    Gastropubs,
                    American (New)","318 N State StChicago, IL 60654",Mon 11:30 am - 12:00 am Tue 11:30 am - 12:00 am Wed 11:30 am - 12:00 am Thu 11:30 am - 12:00 am Fri 11:30 am - 1:00 am Sat 11:30 am - 1:00 am Sun 11:00 am - 11:00 pm ,No,Yes,Valet,Casual,Yes,$31-60,Yes,No,Yes,Null,No,Free,Dinner,Full Bar,Average,Classy,Yes,Yes,Null,wollenskysgrill.com,(312) 670-9596
HkUUKDwlIu869ECubV4NfA,Tanta,"118 W Grand Ave Chicago, IL 60654 Neighbourhood: River North, Near North Side",895,4.0,"Peruvian,
                    Bars","118 W Grand AveChicago, IL 60654",Mon 11:00 am - 2:30 pm5:00 pm - 9:00 pm Tue 11:00 am - 2:30 pm5:00 pm - 11:00 pm Wed 11:00 am - 2:30 pm5:00 pm - 11:00 pm Thu 11:00 am - 2:30 pm5:00 pm - 11:00 pm Fri 11:00 am - 2:30 pm5:00 pm - 12:00 am Sat 11:00 am - 2:30 pm5:00 pm - 12:00 am Sun 11:00 am - 2:30 pm5:00 pm - 9:00 pm ,No,Yes,Valet,Casual,Yes,$31-60,Yes,No,No,Null,Yes,Free,Dinner,Full Bar,Average,Trendy,No,No,Null,tantachicago.com,(312) 222-9700
qPEQWFd7v2OwjQJiBOM1lg,Portsmith,"660 N State St Chicago, IL 60654 Neighbourhood: Near North Side",66,4.5,"Seafood,
                    American (New),
                    Steakhouses","660 N State StChicago, IL 60654",Mon 7:00 am - 2:00 pm5:00 pm - 10:00 pm Tue 7:00 am - 2:00 pm5:00 pm - 10:00 pm Wed 7:00 am - 2:00 pm5:00 pm - 10:00 pm Thu 7:00 am - 2:00 pm5:00 pm - 10:00 pm Fri 7:00 am - 2:00 pm5:00 pm - 10:00 pm Sat 8:00 am - 2:00 pm5:00 pm - 10:00 pm Sun 8:00 am - 2:00 pm5:00 pm - 8:30 pm ,Yes,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,No,No,Yes,Yes,Free,"Breakfast, Brunch, Dinner",Full Bar,Average,Upscale,No,Yes,Yes,portsmithchicago.com,(312) 202-6050
6KU3ylSh27qiiBa-a9vOGQ,Union Sushi + Barbeque Bar,"230 W Erie St Chicago, IL 60654 Neighbourhood: River North, Near North Side",984,4.0,"Japanese,
                    Sushi Bars,
                    Barbeque","230 W Erie StChicago, IL 60654",Mon 11:30 am - 2:00 pm5:00 pm - 10:00 pm Tue 11:30 am - 2:00 pm5:00 pm - 10:00 pm Wed 11:30 am - 2:00 pm5:00 pm - 10:00 pm Thu 11:30 am - 2:00 pm5:00 pm - 10:00 pm Fri 11:30 am - 2:00 pm5:00 pm - 11:00 pm Sat 5:00 pm - 11:00 pm Sun 5:00 pm - 9:00 pm ,No,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Null,No,Free,Dinner,Full Bar,Average,Trendy,Yes,Yes,Null,eatatunion.com,(312) 662-4888
gSMAmIma0SWC0qJnZeggnA,Café Iberico,"737 N Lasalle Blvd Chicago, IL 60654 Neighbourhood: River North, Near North Side",1948,3.5,"Spanish,
                    Tapas Bars","737 N Lasalle BlvdChicago, IL 60654",Mon 11:00 am - 11:00 pm Tue 11:00 am - 11:00 pm Wed 11:00 am - 11:00 pm Thu 11:00 am - 11:00 pm Fri 11:00 am - 12:00 am Sat 11:00 am - 12:00 am Sun 11:00 am - 11:00 pm ,Yes,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,No,No,Dinner,Full Bar,Very Loud,Casual,Yes,Yes,Yes,cafeiberico.com,(312) 573-1510
Ex7WA2eeta6xoiLkCJM6Jg,Big Wig Tacos,"770 N LaSalle St Chicago, IL 60654 Neighbourhood: River North, Near North Side",79,4.0,Tacos,"770 N LaSalle StChicago, IL 60654",Mon 11:00 am - 4:00 am Tue 11:00 am - 4:00 am Wed 11:00 am - 4:00 am Thu 11:00 am - 4:00 am Fri 11:00 am - 5:30 am Sat 11:00 am - 5:30 am Sun 11:00 am - 4:00 am ,Yes,Yes,Street,Casual,Yes,Under $10,No,Yes,Yes,No,No,Free,"Lunch, Dinner",No,Average,Casual,No,Yes,Yes,bigwigtacos.com,(630) 413-1195
NkiMNg57iKeBLRdt9jv2Aw,The Boarding House,"720 N Wells St Chicago, IL 60654 Neighbourhood: River North, Near North Side",591,4.0,"American (New),
                    Wine Bars,
                    Vegetarian","720 N Wells StChicago, IL 60654",Mon 4:30 pm - 9:00 pm Tue 4:30 pm - 10:00 pm Wed 4:30 pm - 10:00 pm Thu 4:30 pm - 10:00 pm Fri 4:30 pm - 10:00 pm Sat 4:30 pm - 10:00 pm Sun Closed ,No,Yes,Valet,Dressy,Yes,$31-60,Yes,No,No,Null,Yes,No,Dinner,Full Bar,Average,Classy,Yes,No,Null,boardinghousechicago.com,(312) 280-0720
ID-0tVdM9YatcHzjDfiofg,Fremont,"15 W Illinois St Chicago, IL 60654 Neighbourhood: Near North Side",355,4.0,"American (New),
                    Cocktail Bars","15 W Illinois StChicago, IL 60654",Mon Closed Tue Closed Wed 4:00 pm - 2:00 am Thu 4:00 pm - 2:00 am Fri 4:00 pm - 2:00 am Sat 10:00 am - 3:00 am Sun 10:00 am - 2:00 am ,No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Yes,No,Free,Brunch,Full Bar,Loud,Trendy,Yes,No,Null,fremontchicago.com,(312) 874-7270
OGGtHsXsCUHaLkyUNZVXNg,The Dawson,"730 W Grand Ave Chicago, IL 60654 Neighbourhood: River West, Noble Square, Near West Side, West Town",706,4.0,American (Traditional),"730 W Grand AveChicago, IL 60654",Mon 4:30 pm - 11:00 pm Tue 4:30 pm - 12:00 am Wed 4:30 pm - 12:00 am Thu 4:30 pm - 12:00 am Fri 4:00 pm - 1:30 am Sat 10:30 am - 1:30 am Sun 10:30 am - 11:00 pm ,No,Yes,Valet,Casual,Yes,$11-30,Yes,No,No,Null,Yes,Free,Dinner,Full Bar,Average,Trendy,Yes,No,Null,the-dawson.com,(312) 243-8955
hZ64aFe4-4ClppyFdpNNcQ,Ironside Bar & Galley,"546 N Wells St Chicago, IL 60654 Neighbourhood: River North, Near North Side",86,4.0,"American (New),
                    Sports Bars,
                    Beer Bar","546 N Wells StChicago, IL 60654",Mon 4:00 pm - 2:00 am Tue 11:30 am - 2:00 am Wed 11:30 am - 2:00 am Thu 11:30 am - 2:00 am Fri 11:30 am - 2:00 am Sat 11:00 am - 3:00 am Sun 11:00 am - 2:00 am ,No,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,"Dinner, Late Night",Full Bar,Very Loud,"Casual, Trendy",Yes,No,Yes,ironsidechicago.com,(312) 973-7792
J_6biyUoo3wYneF3j4LKWw,Osteria Via Stato,"620 N State St Chicago, IL 60654 Neighbourhood: Near North Side",710,4.0,"Italian,
                    Pizza,
                    Wine Bars","620 N State StChicago, IL 60654",Mon 5:00 pm - 10:00 pm Tue 5:00 pm - 10:00 pm Wed 5:00 pm - 10:00 pm Thu 5:00 pm - 10:00 pm Fri 5:00 pm - 11:00 pm Sat 5:00 pm - 11:00 pm Sun 5:00 pm - 9:30 pm ,No,Yes,"Valet, Garage, Street, Validated",Casual,Yes,$11-30,Yes,Yes,Yes,Null,Yes,Free,Dinner,Full Bar,Average,Romantic,Yes,Yes,Null,osteriaviastato.com,(312) 642-8450
8oKRLk54AhYwEaBe7onYog,Green Door Tavern,"678 N Orleans St Chicago, IL 60654 Neighbourhood: River North, Near North Side",376,4.0,"Pubs,
                    American (Traditional)","678 N Orleans StChicago, IL 60654",Mon 11:30 am - 2:00 am Tue 11:30 am - 2:00 am Wed 11:30 am - 2:00 am Thu 11:30 am - 2:00 am Fri 11:30 am - 2:00 am Sat 10:00 am - 3:00 am Sun 10:00 am - 9:00 pm ,No,Yes,Street,Casual,Yes,$11-30,No,No,Yes,Null,No,Free,"Lunch, Dinner",Full Bar,Average,Casual,Yes,Yes,Null,greendoorchicago.com,(312) 664-5496
zXDVdB7jofrt1IWODlOtUA,Beatrix River North,"519 North Clark Street Chicago, IL 60654 Neighbourhood: Near North Side",1451,4.0,"American (New),
                    Breakfast & Brunch","519 North Clark StreetChicago, IL 60654",Mon 7:00 am - 10:00 pm Tue 7:00 am - 10:00 pm Wed 7:00 am - 10:00 pm Thu 7:00 am - 10:00 pm Fri 7:00 am - 11:00 pm Sat 8:00 am - 11:00 pm Sun 8:00 am - 9:00 pm ,Yes,Yes,"Valet, Street",Casual,Yes,$11-30,Yes,No,Yes,Null,Yes,Free,"Breakfast, Brunch",Full Bar,Average,Trendy,Yes,Yes,Null,beatrixchicago.com,(312) 284-1377
CSxbbmY-OshnCG7GZ062Ww,The Roost Carolina Kitchen,"455 N Milwaukee Ave Chicago, IL 60654 Neighbourhood: River West, West Loop, Near West Side, West Town",196,4.0,Southern,"455 N Milwaukee AveChicago, IL 60654",Mon 9:00 am - 9:00 pm Tue 9:00 am - 9:00 pm Wed 9:00 am - 9:00 pm Thu 9:00 am - 9:00 pm Fri 9:00 am - 9:00 pm Sat 9:00 am - 9:00 pm Sun 9:00 am - 3:00 pm ,Yes,Yes,Street,Casual,No,$11-30,No,Yes,Yes,No,Yes,No,"Lunch, Dinner",No,Average,Casual,No,Yes,Null,theroostcarolinakitchen.com,(312) 877-5738
